nome,cpf,uf,turma,data_nascimento,email,endereco,período,modulo
Davi Duarte,854.017.692-02,Bahia,3,1991-10-20,isabelly55@hotmail.com,"Rua de da Costa, 1",noturno,git
Lucca Monteiro,289.416.703-22,Mato Grosso,2,1999-09-04,kduarte@nunes.com,"Conjunto de da Mota, 1",matutino,github
Lívia Rodrigues,128.504.693-51,Tocantins,3,1997-12-15,nribeiro@gmail.com,Fazenda Valentina Azevedo,matutino,git
Kaique Moraes,135.782.469-64,Distrito Federal,1,1996-11-18,noah76@lopes.com,"Lago Sophie Porto, 34",noturno,git
Vitor Santos,257.341.968-19,Ceará,3,2004-04-03,marianada-cunha@gmail.com,"Pátio de Ferreira, 5",noturno,scrum
Ana Vitória Silva,105.738.429-14,Minas Gerais,2,2005-08-15,xnogueira@fernandes.br,"Praia Kaique Jesus, 173",noturno,carreiras
Calebe Monteiro,534.192.706-07,Roraima,3,2004-11-23,enzo-gabriel94@novaes.net,"Estrada de Dias, 199",vespertino,github
Bárbara Moura,245.796.310-99,Rondônia,2,2005-04-04,samuelsilva@campos.com,"Chácara de Monteiro, 65",vespertino,introdução ao python
Isadora da Rocha,710.486.392-31,Tocantins,2,2001-02-13,anthony90@ig.com.br,"Lagoa de Cardoso, 15",matutino,introdução ao python
Emanuella Souza,267.941.305-99,Sergipe,2,2003-11-11,vferreira@ig.com.br,"Condomínio de Moraes, 8",vespertino,carreiras
Maitê das Neves,397.684.052-10,Pernambuco,3,2002-08-14,bruno37@ig.com.br,"Morro Marina Lopes, 6",vespertino,aprofundamento ao python
Larissa Porto,723.106.498-13,Mato Grosso do Sul,3,1999-11-15,dmoraes@gmail.com,"Sítio de Mendes, 6",noturno,scrum
Maitê Rodrigues,158.320.469-51,Pará,3,2003-10-02,camilada-cruz@da.com,"Passarela João Pedro Costela, 6",matutino,github
Alice da Conceição,093.486.127-78,Piauí,1,1993-12-14,ferreiramelissa@cunha.com,"Residencial Isadora Nogueira, 90",vespertino,carreiras
Maria Clara Viana,728.149.065-85,Tocantins,3,2003-12-30,irodrigues@yahoo.com.br,"Travessa Lavínia Porto, 51",matutino,carreiras
Ana Julia Jesus,569.701.342-61,Mato Grosso,1,1999-11-13,da-cruzandre@ferreira.br,"Núcleo de da Conceição, 76",matutino,scrum
Luigi da Luz,389.762.104-50,Acre,1,2002-10-31,cardosomariane@uol.com.br,"Residencial Matheus Nogueira, 80",vespertino,scrum
Marcelo da Rosa,140.689.527-01,Tocantins,2,1997-01-06,theocarvalho@ig.com.br,Vereda de Aragão,vespertino,git
Alexandre Silva,920.631.458-06,Distrito Federal,3,2002-05-24,acorreia@fogaca.com,"Residencial de Rodrigues, 20",noturno,scrum
Stephany Silveira,492.781.306-13,Paraná,2,2000-12-15,da-rosaluiza@santos.net,"Praia Henrique Rocha, 64",vespertino,github
João Felipe Gonçalves,298.415.370-79,Maranhão,2,2002-11-06,fernandesluiz-henrique@da.net,"Avenida Luana Cardoso, 99",noturno,introdução ao python
Lucas Gabriel Farias,165.497.830-20,Paraná,2,2003-09-01,vitor52@cunha.net,"Via Ana Lívia Viana, 13",vespertino,aprofundamento ao python
Gabriel Castro,985.731.402-32,Espírito Santo,2,1992-12-12,cunhagabrielly@ig.com.br,"Conjunto de Campos, 62",matutino,carreiras
Ana Laura Pires,026.534.917-61,Rio de Janeiro,3,1998-01-31,joao-miguelfogaca@fogaca.br,"Feira Almeida, 82",vespertino,banco de dados
Luiz Miguel Porto,185.032.467-08,Rio Grande do Sul,3,2003-02-18,tbarbosa@yahoo.com.br,"Rua Lucas Rodrigues, 42",matutino,scrum
Otávio da Mata,760.289.153-86,Paraná,2,2001-03-27,kamilly44@sales.br,"Trevo Caldeira, 3",vespertino,carreiras
Nina Novaes,076.985.124-01,Rio Grande do Sul,1,1999-01-09,thalescorreia@uol.com.br,Trecho Cunha,noturno,banco de dados
Augusto Almeida,369.027.854-65,Rio Grande do Norte,2,2004-10-23,isabella77@ig.com.br,"Loteamento de Ribeiro, 934",matutino,github
Cecília Fernandes,203.465.197-99,Rio de Janeiro,1,1994-06-04,maysapereira@fernandes.com,"Morro Fogaça, 923",noturno,carreiras
Maria Eduarda Ferreira,187.534.602-35,Roraima,3,1992-04-09,alexia60@gmail.com,"Área Dias, 30",vespertino,git
Caroline Souza,938.726.405-00,Espírito Santo,2,1995-11-15,ana-julia69@teixeira.br,"Vereda Carvalho, 7",matutino,aprofundamento ao python
Gabriela Melo,731.028.649-96,Maranhão,1,1994-01-23,ada-conceicao@gmail.com,"Vale Juan Duarte, 61",matutino,banco de dados
Diego Rezende,239.470.165-06,Distrito Federal,1,1993-05-25,luigigoncalves@yahoo.com.br,"Lagoa Marina da Cunha, 73",noturno,github
Vitor Hugo Viana,692.531.074-99,Rondônia,2,1992-07-28,lais68@ribeiro.org,"Chácara Diego Nascimento, 5",vespertino,git
Luiz Felipe Correia,907.342.586-74,Pernambuco,1,2002-03-10,bcaldeira@lima.com,"Vila Melo, 576",noturno,git
Luiz Otávio Correia,302.149.678-40,Acre,3,2001-04-25,eduardo05@silva.com,"Viela Raul Jesus, 61",vespertino,carreiras
Maria Sophia Jesus,081.354.279-05,Rio Grande do Sul,1,2005-06-27,thiago79@ig.com.br,"Esplanada de Araújo, 97",vespertino,banco de dados
Rebeca das Neves,372.510.698-30,Tocantins,3,1998-09-14,emillycarvalho@bol.com.br,"Esplanada de Porto, 68",matutino,scrum
Marcos Vinicius Correia,974.068.153-01,Rio Grande do Norte,1,1992-01-01,helena39@da.br,"Condomínio de Farias, 49",matutino,introdução ao python
Anthony Fernandes,430.958.721-60,Alagoas,1,2005-07-22,vieirajulia@hotmail.com,"Praia Pereira, 310",vespertino,carreiras
Luiz Otávio Lima,950.473.162-70,Bahia,2,1994-11-19,monteirojuliana@ig.com.br,"Condomínio Santos, 77",noturno,aprofundamento ao python
Marcela Silveira,402.356.791-43,Rio Grande do Norte,3,2001-09-23,joaquim49@silva.net,"Rua Melo, 45",vespertino,github
Ana Julia Rocha,527.890.143-88,Rondônia,1,1992-08-24,ksantos@uol.com.br,Rodovia Thiago da Mata,noturno,aprofundamento ao python
Kamilly Cardoso,471.623.059-70,Amazonas,2,2001-06-22,mourakaique@bol.com.br,"Aeroporto de Vieira, 49",matutino,git
Raul Carvalho,402.835.691-15,Ceará,3,2005-06-02,calebelopes@gomes.br,"Aeroporto Barbosa, 92",noturno,banco de dados
Heloísa Rodrigues,870.536.129-02,Amazonas,2,1997-04-14,rcampos@ig.com.br,"Praia de Nogueira, 50",vespertino,aprofundamento ao python
Arthur da Mata,824.937.016-31,Alagoas,1,1992-03-15,tsantos@ig.com.br,"Trevo de Viana, 90",matutino,carreiras
Caroline Alves,350.841.762-07,Paraná,1,1999-12-12,ana-claracaldeira@costela.br,Esplanada de Martins,matutino,github
Guilherme da Cunha,197.602.543-52,Piauí,3,2005-03-22,ana-julia70@teixeira.com,"Recanto Campos, 420",vespertino,introdução ao python
Ian da Mata,548.732.160-44,Pará,1,2004-04-22,isabellacastro@costela.br,"Feira Ana Luiza Barros, 42",noturno,github
Kevin Azevedo,386.459.217-82,Espírito Santo,1,1993-05-11,sarah74@yahoo.com.br,"Alameda Miguel Araújo, 26",matutino,github
Nicole Freitas,164.357.829-46,Rio de Janeiro,3,1996-01-23,ana-julia74@nascimento.br,"Parque João Miguel Rocha, 13",noturno,github
Pedro Henrique Peixoto,350.948.762-10,São Paulo,3,1995-03-30,eduardosilveira@ig.com.br,"Quadra Silveira, 86",noturno,introdução ao python
Brenda Costela,540.376.892-00,Tocantins,3,2000-08-07,caio06@yahoo.com.br,"Colônia Mendes, 835",vespertino,carreiras
Evelyn Freitas,528.761.349-00,Pará,3,2000-06-13,mouracalebe@almeida.br,"Lagoa Oliveira, 934",noturno,github
Emanuel da Cruz,075.234.619-99,Espírito Santo,1,1991-02-16,oliveiramarina@yahoo.com.br,Lagoa Diogo Cardoso,vespertino,git
Ian da Luz,603.942.815-51,Mato Grosso,3,2003-09-14,imartins@uol.com.br,Vila de Fernandes,vespertino,aprofundamento ao python
Juan Novaes,230.759.841-32,Mato Grosso do Sul,2,1992-04-03,ycostela@bol.com.br,"Morro de Ramos, 58",noturno,git
Vitor Gabriel Duarte,692.740.385-00,São Paulo,2,2002-05-09,krodrigues@cardoso.com,Condomínio de Gomes,vespertino,banco de dados
Luiz Gustavo Fernandes,057.984.623-74,Pará,2,1995-11-23,pda-luz@novaes.br,Praça de Silveira,noturno,banco de dados
Juan Almeida,523.076.948-38,Ceará,2,2005-05-16,da-pazjulia@uol.com.br,"Alameda de Freitas, 590",noturno,carreiras
Vitor Gabriel Farias,813.465.907-10,Santa Catarina,1,1995-10-04,cecilia37@hotmail.com,"Estrada Porto, 76",noturno,git
Carlos Eduardo Nogueira,195.842.370-04,Amapá,3,1996-12-20,thales46@uol.com.br,"Viaduto Carvalho, 5",vespertino,scrum
Luiz Miguel Castro,520.364.981-24,Bahia,1,1996-10-26,joanacastro@costa.com,"Condomínio Mirella Monteiro, 138",noturno,github
Stella Azevedo,863.457.290-00,Rio Grande do Sul,2,2003-05-23,vitor-hugo23@rezende.com,"Largo Luiz Otávio Cavalcanti, 40",noturno,git
Vinicius Teixeira,143.059.827-14,Amazonas,2,1992-04-27,bnunes@hotmail.com,"Passarela Oliveira, 9",vespertino,aprofundamento ao python
Carolina Campos,295.378.041-60,Distrito Federal,2,1994-10-09,zcavalcanti@yahoo.com.br,"Jardim de Alves, 3",vespertino,github
Gabriel Alves,936.814.750-75,Roraima,2,2001-06-27,luizabarros@gmail.com,Ladeira de Melo,matutino,carreiras
Bruna Moraes,638.479.120-03,Ceará,1,2004-11-06,wlopes@uol.com.br,Passarela Thomas Pires,matutino,github
Benício Ramos,392.186.045-89,Bahia,3,1996-06-20,lucas-gabriel20@uol.com.br,"Área Alícia da Cunha, 18",vespertino,aprofundamento ao python
Laís Pinto,174.630.829-03,Goiás,2,1994-09-24,luananunes@novaes.br,"Parque Maria Clara da Rocha, 23",vespertino,carreiras
Clarice das Neves,097.431.685-75,Rondônia,3,2000-11-30,ninanunes@gomes.net,"Loteamento Maria Vitória Cardoso, 9",vespertino,introdução ao python
Juliana Melo,097.468.521-67,Tocantins,1,1995-05-09,rochaana-luiza@da.com,"Praça de da Cunha, 4",noturno,carreiras
Maria Vitória Cunha,046.193.782-40,Pará,1,1998-04-26,gramos@martins.br,"Ladeira Nogueira, 28",noturno,banco de dados
Ana Monteiro,761.830.945-01,Pernambuco,3,2003-02-22,luna72@da.br,"Viaduto Isaac Pires, 54",vespertino,scrum
Daniela Nogueira,601.857.392-02,Paraná,2,2002-05-22,luiz-gustavonovaes@viana.com,"Estrada Dias, 18",matutino,github
Calebe Lima,349.851.726-00,Rio de Janeiro,1,1996-02-06,costelaigor@rocha.com,Loteamento Campos,vespertino,aprofundamento ao python
Maria Julia da Cruz,839.542.716-64,Minas Gerais,3,2002-05-29,ana-vitoriafreitas@monteiro.org,"Viela Cavalcanti, 634",matutino,git
Antônio Sales,126.047.938-22,Paraná,3,2001-06-28,caldeiraana-luiza@porto.org,"Jardim da Costa, 511",matutino,introdução ao python
Maria Vitória Cardoso,612.089.574-49,Amazonas,2,1990-12-03,teixeiramiguel@hotmail.com,"Trevo Nunes, 61",matutino,aprofundamento ao python
João Vitor Teixeira,741.236.089-22,Tocantins,2,2003-02-20,pereirakaique@pinto.com,"Jardim de Mendes, 85",vespertino,aprofundamento ao python
Raul Fernandes,623.854.791-09,Rondônia,2,1997-04-02,stephanybarros@ig.com.br,"Campo Henrique Melo, 53",matutino,carreiras
Cauê Teixeira,162.830.594-06,Mato Grosso do Sul,1,1991-07-06,melissapereira@ig.com.br,"Chácara Ramos, 54",matutino,aprofundamento ao python
Ana Clara Silva,970.461.852-20,Acre,2,1994-06-23,emanuelly34@ig.com.br,"Vereda Davi Ribeiro, 410",matutino,banco de dados
Benício Gonçalves,940.753.628-92,Minas Gerais,2,1997-08-02,lopesjoao-miguel@das.br,"Parque Ramos, 88",noturno,github
Enzo da Conceição,428.307.659-74,Santa Catarina,3,1996-11-27,pietra26@uol.com.br,"Setor Souza, 95",matutino,introdução ao python
Alícia Carvalho,843.169.752-00,Roraima,3,1992-05-11,portopedro-henrique@gmail.com,"Rodovia de Melo, 22",vespertino,git
Davi Lucas Jesus,275.864.103-80,Maranhão,1,2001-02-04,da-rosaaugusto@lopes.org,"Chácara de Martins, 508",noturno,introdução ao python
Gustavo Gonçalves,516.708.493-84,Paraíba,3,1993-06-30,bsouza@yahoo.com.br,Aeroporto de Souza,matutino,git
Maria Clara Cardoso,561.398.074-84,Maranhão,1,1997-01-14,ferreiranicolas@santos.br,Passarela de Correia,vespertino,introdução ao python
André Freitas,978.456.031-39,Santa Catarina,1,1999-11-05,augusto29@ig.com.br,"Rua Cauê Costela, 50",noturno,carreiras
Maria Alice Gomes,128.703.496-96,Tocantins,3,1999-10-14,fmendes@monteiro.br,"Feira de Lima, 71",matutino,github
Lucas Gabriel Pinto,851.490.263-60,Alagoas,3,1998-06-15,pedro-henrique19@yahoo.com.br,"Largo Carlos Eduardo Mendes, 12",noturno,aprofundamento ao python
Ryan Fogaça,691.458.032-42,Rondônia,2,1998-07-28,breno67@gmail.com,"Vila de Lima, 67",vespertino,banco de dados
Maria Cecília Rodrigues,156.308.742-17,Rio Grande do Norte,3,1990-11-28,slima@hotmail.com,"Morro Ana Carolina Rezende, 336",matutino,banco de dados
Paulo da Cunha,406.785.312-26,Espírito Santo,2,1993-02-07,xbarros@gmail.com,"Recanto Correia, 46",matutino,banco de dados
Kevin Monteiro,208.615.493-33,Pernambuco,2,2001-06-15,mirella86@gmail.com,"Setor de Almeida, 60",vespertino,git
Evelyn Correia,810.652.973-86,Pernambuco,2,1999-06-17,da-cruzisabella@yahoo.com.br,Morro Evelyn Carvalho,matutino,introdução ao python
Eloah Cunha,874.519.023-23,Santa Catarina,2,1991-10-21,laramoreira@hotmail.com,"Viaduto Vieira, 71",vespertino,git
Kevin Freitas,628.194.573-55,Acre,1,1997-01-30,pedro-lucaspires@pinto.net,Recanto Moreira,matutino,banco de dados
Ian da Rosa,512.049.368-89,Maranhão,1,2000-01-18,cardosoluiz-miguel@das.net,"Pátio de Porto, 956",matutino,carreiras
Ana Beatriz Pereira,653.249.087-38,Mato Grosso do Sul,2,1998-03-02,wda-paz@moraes.com,"Rua de das Neves, 47",matutino,carreiras
Carlos Eduardo Dias,695.408.321-60,Santa Catarina,3,1991-04-26,das-nevesraquel@ig.com.br,Trevo de Nascimento,matutino,github
Levi Alves,237.815.946-37,Rondônia,2,1996-11-20,alexiacampos@hotmail.com,"Trevo Carvalho, 61",vespertino,banco de dados
Júlia Barros,670.153.928-95,Roraima,1,1996-02-07,isabella78@uol.com.br,"Trevo Isaac Ramos, 50",vespertino,carreiras
Vitória Moraes,724.359.610-06,Roraima,3,1994-02-13,costelaesther@ferreira.com,"Vale Barbosa, 88",vespertino,carreiras
